"ellos",8608737
"tipo",8600308
"nuestro",8409106
"sino",8324492
"debe",8296561
"nada",8271353
"quien",8261889
"3",8255053
"pues",8121585
"¡",8015101
"ante",7972881
"él",7938591
"mientras",7885053
"nuestra",7863742
"algunos",7845000
"días",7836844
"primer",7833854
"unos",7790545
"nueva",7752000
"grupo",7716682
"mas",7671052
"cómo",7656373
"decir",7526505
"casa",7526116
"desarrollo",7490199
"toda",7465732
"través",7430808
"cualquier",7409379
"sí",7336394
"muchos",7311481
"social",7308605
"luego",7283210
"empresa",7266640
"ley",7217404
"he",7022851
"va",7008816
"medio",7007377
"importante",6916792
"tras",6888676
"será",6860918
"proyecto",6844750
"ella",6817085
"historia",6794948
"fueron",6792477
"dentro",6792239
"españa",6756216
"gracias",6715739
"equipo",6688789
"proceso",6681072
"hacia",6633448
"centro",6560303
"ello",6507843
"pasado",6459138
"tal",6445314
"servicios",6429522
"nivel",6408251
"cosas",6395911
"estaba",6353669
"4",6335780
"servicio",6328579
"muchas",6328158
"fin",6325565
"san",6269245
"estar",6230167
"embargo",6172342
"misma",6162218
"ejemplo",6151716
"aquí",6151327
"presidente",6104976
"artículo",6083268
"datos",6051075
"5",6048714
"bajo",5995239
"dijo",5983382
"seguridad",5958880
"diferentes",5936787
"gente",5929522
"acuerdo",5919329
"final",5828516
"derecho",5789145
"calidad",5780162
"uso",5751633
"agua",5726471
"horas",5677535
"veces",5659248
"10",5626203
"casi",5623660
"empresas",5602041
"punto",5573469
"salud",5552373
"entonces",5548672
"programa",5461920
"zona",5413867
"política",5382606
"grandes",5345783
"persona",5293783
"partido",5286458
"número",5279058
"frente",5274618
"​",5269279
"parece",5257446
"incluso",5250860
"posible",5230900
"tengo",5217455
"nombre",5208199
"universidad",5083177
"relación",5073951
"haber",5064463
"nunca",5058149
"situación",5023960
"público",5019550
"aún",5015608
"tema",5010166
"experiencia",4992790
"estados",4990543
"dar",4978294
"creo",4974852
"nuestros",4929357
"cambio",4908820
"tenemos",4893745
"lado",4889170
"nosotros",4879884
"productos",4873229
"algunas",4869944
"dice",4860630
"mercado",4841667
"da",4838312
"mujeres",4837607
"sociedad",4830951
"meses",4806182
"respecto",4793665
"fuera",4780059
"buena",4778673
"semana",4773000
"hemos",4758690
"personal",4747052
"junto",4714996
"cuatro",4673075
"siendo",4664309
"problemas",4641261
"familia",4639328
"niños",4579865
"alguna",4568100
"sector",4564153
"obra",4553868
"mediante",4552831
"partir",4542021
"internacional",4540192
"derechos",4507330
"problema",4502117
"educación",4496770
"segundo",4488913
"sentido",4459246
"estamos",4458519
"total",4424207
"estudio",4421374
"países",4385671
"varios",4384896
"hombre",4380017
"sociales",4362909
"último",4362832
"6",4349455
"juego",4335367
"base",4329683
"encuentra",4319762
"podemos",4319615
"madrid",4306338
"actividades",4272750
"investigación",4262616
"méxico",4260159
"trata",4252332
"realidad",4247363
"igual",4246859
"realizar",4225198
"20",4219806
"cuanto",4206837
"buen",4203858
"control",4201699
"falta",4193137
"atención",4188771
"podría",4185757
"juan",4184364
"josé",4181690
"quienes",4181599
"unas",4181412
"casos",4158186
"objetivo",4144193
"verdad",4143418
"dicho",4128328
"tenía",4105617
"hizo",4090960
"paso",4081646
"actividad",4081381
"mis",4080971
"mujer",4060359
"segunda",4054623
"bueno",4003108
"dios",3987069
"saber",3986303
"modo",3979868
"cuerpo",3976892
"estoy",3965140
"llegar",3956467
"condiciones",3948009
"web",3934637
"largo",3910582
"resultados",3910085
"puntos",3905533
"unidos",3904974
"espacio",3903375
"recursos",3897396
"esos",3893318
"claro",3870346
"nuevos",3866722
"real",3861551
"serie",3855037
"comunidad",3845455
"primero",3842436
"libro",3841950
"hora",3830176
"valor",3828958
"van",3812413
"puedes",3804412
"permite",3804236
"conocer",3795458
"puesto",3794284
"tus",3789841
"euros",3787790
"producción",3782193
"nuevas",3781135
"especial",3765269
"ir",3763435
"mayoría",3757230
"15",3711357
"gestión",3698684
"mes",3682704
"fecha",3676657
"pueblo",3654980
"director",3636708
"precio",3620137
"30",3615546
"dirección",3610954
"presente",3602008
"modelo",3598689
"7",3590395
"deben",3585506
"medios",3568522
"población",3550206
"algún",3539203
"idea",3536547
"sería",3535011
"8",3530659
"principal",3514575
"mano",3509183
"debido",3505778
"dinero",3502647
"seguir",3479840
"acción",3476436
"mejores",3470575
"soy",3459402
"siguiente",3448043
"mal",3436977
"haya",3423753
"cierto",3422585
"propio",3410115
"argentina",3405443
"necesario",3398605
"capacidad",3396226
"cinco",3392182
"formación",3389040
"estudios",3383206
"alta",3372942
"pública",3364455
"guerra",3346576
"plan",3331508
"eran",3330657
"buenos",3311442
"ayuda",3309304
"local",3308017
"julio",3292931
"comunicación",3290223
"edad",3289404
"red",3275839
"12",3267758
"área",3264042
"actual",3263882
"obras",3263869
"noche",3260173
"anterior",3254906
"tierra",3249063
"mundial",3245172
"usted",3244413
"alto",3243623
"tuvo",3242049
"cuales",3239847
"hacen",3236417
"proyectos",3233251
"diseño",3233080
"apoyo",3225669
"varias",3225137
"organización",3221464
"ahí",3210457
"mayo",3208909
"siglo",3201100
"nadie",3198932
"cultura",3198420
"cosa",3160575
"minutos",3158698
"dado",3150669
"tarde",3145739
"cantidad",3145560
"línea",3144342
"últimos",3143761
"capital",3141760
"interés",3140988
"análisis",3139949
"favor",3138252
"único",3129614
"cerca",3128046
"quiere",3127684
"ambos",3123823
"ningún",3119704
"sigue",3119246
"the",3115603
"os",3111455
"cabo",3111077
"página",3108603
"propia",3107076
"ellas",3104245
"acceso",3104180
"camino",3101250
"allí",3100136
"pueda",3099034
"etc.",3091501
"alguien",3073853
"producto",3062205
"campo",3058668
"bastante",3056202
"superior",3045092
"imagen",3035306
"orden",3031268
"vamos",3030830
"existe",3030209
"pesar",3027595
"vista",3024752
"resultado",3024737
"carlos",3024510
"esas",3014428
"administración",3013312
"aplicación",3005065
"libre",3001859
"construcción",3000321
"medida",2997638
"profesional",2992260
"mañana",2989336
"grupos",2985954
"palabras",2976651
"última",2964878
"diciembre",2960024
"futuro",2959541
"luz",2959493
"trabajadores",2958304
"música",2937695
"amor",2928321
"haciendo",2927730
"seguro",2926495
"internet",2926155
"demás",2920118
"maría",2919177
"respuesta",2917848
"octubre",2902965
"hombres",2897384
"cargo",2888530
"conjunto",2884817
"encontrar",2882806
"fuerza",2880155
"principales",2872460
"jóvenes",2863770
"enero",2851749
"muestra",2848799
"región",2847497
"calle",2833062
"tratamiento",2832028
"justicia",2830733
"aquellos",2828832
"acciones",2828134
"comisión",2826146
"color",2823905
"muerte",2822388
"presencia",2820118
"ofrece",2816771
"venta",2814789
"marzo",2810626
"interior",2808355
"resto",2791642
"padre",2789500
"principio",2787837
"español",2777690
"poner",2773149
"conocimiento",2772401
"profesionales",2767895
"participación",2766714
"humanos",2764854
"9",2753372
"energía",2750611
"riesgo",2746900
"provincia",2738855
"escuela",2737318
"tienes",2735169
"posibilidad",2735123
"luis",2730153
"tampoco",2730017
"necesidad",2727623
"consejo",2719263
"elementos",2711865
"santa",2709206
"importantes",2704926
"carrera",2703838
"sean",2701545
"junio",2698971
"....",2691724
"trabajar",2691122
"ministerio",2689341
"marca",2685457
"nuestras",2681666
"razón",2679885
"crear",2678522
"central",2676511
"visto",2663874
"evitar",2662959
"primeros",2660853
"25",2660049
"todavía",2657728
"efecto",2657143
"noviembre",2654561
"pasar",2654375
"civil",2652738
"clientes",2652692
"papel",2643646
"media",2641474
"hola",2639286
"madre",2637318
"europa",2633778
"temas",2628598
"natural",2624513
"compañía",2613403
"menor",2604366
"curso",2599731
"septiembre",2598556
"estudiantes",2596919
"2015",2593876
"quiero",2591600
"abril",2590328
"prueba",2589673
"sistemas",2589436
"tomar",2585658
"encuentro",2585078
"grande",2583212
"usuarios",2580146
"medidas",2575321
"señor",2574453
"función",2574135
"duda",2572865
"cambios",2571117
"fondo",2568529
"mejorar",2568483
"movimiento",2567761
"dio",2566526
"siguientes",2566451
"lleva",2563741
"tecnología",2562539
"ambiente",2558873
"economía",2551573
"equipos",2548464
"realmente",2546657
"manos",2544438
"2016",2543919
"llevar",2543630
"sur",2541579
"2013",2541239
"11",2538987
"ninguna",2538115
"dejar",2536225
"viene",2536040
"especialmente",2531349
"relaciones",2528140
"tenido",2526990
"materia",2515172
"políticas",2515061
"febrero",2513387
"hijos",2511340
"oportunidad",2509469
"amigos",2499034
"queda",2498021
"norte",2497700
"sala",2497490
"»",2496084
"«",2494884
"partes",2492569
"hijo",2490636
"arte",2486621
"18",2484128
"•",2483020
"libertad",2475778
"sitio",2475770
"miembros",2469144
"mismos",2469081
"*",2461747
"efectos",2456956
"clase",2445603
"100",2444308
"protección",2432672
"oficial",2430742
"14",2427090
"crecimiento",2425655
"actualmente",2424522
"cabeza",2424403
"habían",2422046
"puedo",2418419
"existen",2416568
"marco",2416197
"importancia",2415575
"características",2414451
"asociación",2413024
"hablar",2412876
"causa",2412181
"16",2410671
"versión",2410306
"instituto",2409576
"leer",2407225
"club",2401425
"2012",2400359
"pasa",2396972
"municipal",2394285
"edición",2393482
"película",2388382
"fácil",2387641
"finalmente",2386552
"2017",2378239
"mucha",2373221
"ayer",2370451
"2014",2366605
"unidad",2360005
"contenido",2357883
"somos",2349807
"procesos",2349532
"baja",2345990
"metros",2342750
"50",2336462
"iglesia",2334136
"próximo",2331831
"crisis",2329030
"joven",2323372
"defensa",2320885
"sabe",2320042
"24",2319303
"título",2315040
"2010",2312017
"plazo",2310430
"estilo",2304861
"serán",2301527
"pago",2301103
"material",2299490
"mayores",2289027
"río",2287492
"temporada",2286614
"decisión",2286348
"fuerte",2285550
"policía",2276827
"13",2273801
"inglés",2271706
"chile",2271434
"paz",2269985
"común",2267994
"diferencia",2265079
"seis",2264605
"formas",2259139
"2011",2258008
"éxito",2257261
"político",2255435
"carácter",2254710
"agosto",2254635
"departamento",2253858
"aire",2250655
"municipio",2249820
"valores",2238093
"busca",2238059
"popular",2230093
"mantener",2228518
"↑",2225612
"difícil",2225186
"programas",2222089
"u",2219350
"informe",2219171
"española",2216376
"gusta",2213896
"hechos",2209963
"juegos",2208368
"i",2207670
"origen",2202602
"padres",2196247
"acto",2191465
"única",2190711
"entrada",2188637
"precios",2187700
"económica",2187274
"naturaleza",2177139
"práctica",2175449
"dicha",2169444
"ciento",2168062
"domingo",2167249
"autoridades",2166815
"lista",2165652
"salir",2164739
"resulta",2163368
"campaña",2162701
"consumo",2160925
"resolución",2155839
"puedan",2155248
"distintos",2152705
"mí",2152703
"ojos",2148949
"necesidades",2147815
"podrá",2141000
"cara",2140205
"texto",2138681
"éste",2137118
"zonas",2136935
"objeto",2136632
"demanda",2122200
"posición",2117458
"redes",2117127
"conseguir",2117077
"creación",2115308
"época",2114908
"s",2113960
"presenta",2110246
"voy",2104599
"#",2104574
"17",2102731
"autor",2097234
"cultural",2097049
"pequeño",2095607
"obtener",2093933
"tribunal",2092528
"propuesta",2091015
"laboral",2089026
"hacerlo",2088542
"allá",2087685
"encuentran",2085644
"pacientes",2082440
"tendrá",2078699
"plaza",2075383
"alumnos",2066786
"económico",2062489
"cámara",2061015
"barcelona",2060678
"q",2060175
"mar",2059694
"acerca",2058079
"alrededor",2057061
"pregunta",2056643
"original",2055949
"comercial",2055836
"lucha",2054737
"vía",2050305
"tenga",2048788
"estaban",2047687
"pensar",2047163
"negocio",2045133
"responsabilidad",2044682
"industria",2044126
"niño",2041685
"antonio",2038446
"instituciones",2034013
"código",2026667
"banco",2021674
"contrario",2019112
"contrato",2018091
"empleo",2016296
"ejercicio",2010192
"referencia",2010110
"cuyo",2007848
"partidos",2006687
"centros",2006439
"funciones",2005334
"distintas",2003362
"unión",2001032
"sé",2000442
"c",1997250
"transporte",1996581
"congreso",1994294
"ideas",1985623
"niveles",1983417
"opción",1983195
"podía",1979634
"llegó",1978330
"colombia",1977446
"realizado",1974421
"locales",1972165
"objetivos",1971551
"federal",1970754
"ciudadanos",1970566
"corte",1970521
"trabajos",1969180
"b",1968046
"utilizar",1967525
"incluye",1967213
"completo",1965756
"concepto",1964749
"viernes",1962968
"lugares",1959735
"planta",1959025
"premio",1957530
"palabra",1956938
"técnica",1953947
"peso",1953294
"sentencia",1952593
"imágenes",1950862
"ex",1949017
"evento",1942555
"supuesto",1941856
"momentos",1935768
"aspectos",1934942
"humano",1934930
"contacto",1934815
"francisco",1934536
"viaje",1932199
"fotos",1931533
"políticos",1930681
"comercio",1928223
"ve",1924834
"vivir",1919207
"diario",1917876
"hotel",1917626
"particular",1915954
"necesita",1914422
"usar",1912942
"artículos",1912516
"presentación",1911862
"llega",1910155
"totalmente",1907240
"jornada",1906113
"violencia",1902953
"comprar",1901959
"dólares",1898753
"libros",1898569
"solución",1897009
"aquel",1896919
"inversión",1895702
"inicio",1893377
"materiales",1893157
"marcha",1891219
"cuestión",1886031
"república",1885925
"demasiado",1885492
"piel",1884052
"entrega",1881788
"buscar",1880040
"prensa",1878133
"aun",1877532
"enfermedad",1877318
"cambiar",1875969
"espera",1871420
"cine",1864666
"adelante",1863171
"21",1861304
"blanco",1860968
"2009",1858838
"buenas",1858625
"19",1858581
"máximo",1858138
"jefe",1858113
"voz",1852049
"llamado",1851066
"deja",1849759
"motivo",1847818
"aires",1847812
"directamente",1846274
"américa",1844171
"responsable",1840525
"iba",1839075
"pesos",1838810
"pruebas",1837402
"simplemente",1836862
"dan",1833049
"grado",1832354
"ayuntamiento",1830681
"principios",1830622
"|",1826524
"fuente",1826277
"quién",1825008
"miguel",1824684
"=",1824428
"pocos",1822402
"suelo",1821011
"salida",1820809
"estructura",1818567
"categoría",1818532
"40",1817945
"mesa",1813265
"&",1810058
"tiempos",1809340
"técnico",1803652
"corazón",1803404
"alimentos",1803309
"ii",1802731
"lograr",1800296
"tipos",1797600
"entidad",1797232
"públicos",1796737
"cliente",1794840
"opinión",1793682
"2008",1793236
"registro",1788547
"manuel",1786364
"22",1785089
"familias",1778055
"encima",1777641
"áreas",1775444
"asimismo",1774706
"estuvo",1774442
"puerto",1774004
"propiedad",1769702
"volver",1765393
"cocina",1763024
"pequeña",1761839
"nota",1761834
"diversos",1757117
"internacionales",1756449
"of",1750210
"tales",1749787
"significa",1743328
"garcía",1739837
"usuario",1735801
"fiscal",1735468
"parque",1734750
"semanas",1734198
"ministro",1731172
